image_id,image_timestamp,pose_timestamp,absolute_delta_seconds,pose_index
1,7.009129,7.009129,0.0,0
2,7.042462,7.009129,0.033333,0
3,7.075795,,,
4,7.109128,,,
5,7.142461,,,
6,7.175794,,,
7,7.206967,,,
8,7.2403,,,
9,7.273633,,,
10,7.306966,,,
11,7.340299,,,
12,7.373632,,,
13,7.402809,,,
14,7.436142,,,
15,7.469475,,,
16,7.502808,,,
17,7.536141,,,
18,7.569474,,,
19,7.599573,,,
20,7.632906,,,
21,7.666239,,,
22,7.699572,,,
23,7.732905,,,
24,7.766238,,,
25,7.798438,,,
26,7.831771,,,
27,7.865104,,,
28,7.898437,,,
29,7.93177,,,
30,7.965103,7.988182,0.023079,1
31,7.988182,7.988182,0.0,1
32,8.021515,7.988182,0.033333,1
33,8.054848,,,
34,8.088181,,,
35,8.121514,,,
36,8.154847,,,
37,8.19707,,,
38,8.230403,,,
39,8.263736,,,
40,8.297069,,,
41,8.330402,,,
42,8.363735,,,
43,8.39595,,,
44,8.429283,,,
45,8.462616,,,
46,8.495949,,,
47,8.529282,,,
48,8.562615,,,
49,8.598784,,,
50,8.632117,,,
51,8.66545,,,
52,8.698783,,,
53,8.732116,,,
54,8.765449,,,
55,8.802486,,,
56,8.835819,,,
57,8.869152,,,
58,8.902485,,,
59,8.935818,,,
60,8.969151,9.002265,0.033114,2
61,9.002265,9.002265,0.0,2
62,9.035598,9.002265,0.033333,2
63,9.068931,,,
64,9.102264,,,
65,9.135597,,,
66,9.16893,,,
67,9.199111,,,
68,9.232444,,,
69,9.265777,,,
70,9.29911,,,
71,9.332443,,,
72,9.365776,,,
73,9.400044,,,
74,9.433377,,,
75,9.46671,,,
76,9.500043,,,
77,9.533376,,,
78,9.566709,,,
79,9.59966,,,
80,9.632993,,,
81,9.666326,,,
82,9.699659,,,
83,9.732992,,,
84,9.766325,,,
85,9.801471,,,
86,9.834804,,,
87,9.868137,,,
88,9.90147,,,
89,9.934803,,,
90,9.968136,9.998204,0.030068,3
91,9.998204,9.998204,0.0,3
92,10.031537,9.998204,0.033333,3
93,10.06487,,,
94,10.098203,,,
95,10.131536,,,
96,10.164869,,,
97,10.201081,,,
98,10.234414,,,
99,10.267747,,,
100,10.30108,,,
101,10.334413,,,
102,10.367746,,,
103,10.396814,,,
104,10.430147,,,
105,10.46348,,,
106,10.496813,,,
107,10.530146,,,
108,10.563479,,,
109,10.599588,,,
110,10.632921,,,
111,10.666254,,,
112,10.699587,,,
113,10.73292,,,
114,10.766253,,,
115,10.797338,,,
116,10.830671,,,
117,10.864004,,,
118,10.897337,,,
119,10.93067,,,
120,10.964003,10.997044,0.033041,4
121,10.997044,10.997044,0.0,4
122,11.030377,10.997044,0.033333,4
123,11.06371,,,
124,11.097043,,,
125,11.130376,,,
126,11.163709,,,
127,11.195824,,,
128,11.229157,,,
129,11.26249,,,
130,11.295823,,,
131,11.329156,,,
132,11.362489,,,
133,11.397736,,,
134,11.431069,,,
135,11.464402,,,
136,11.497735,,,
137,11.531068,,,
138,11.564401,,,
139,11.595348,,,
140,11.628681,,,
141,11.662014,,,
142,11.695347,,,
143,11.72868,,,
144,11.762013,,,
145,11.79609,,,
146,11.829423,,,
147,11.862756,,,
148,11.896089,,,
149,11.929422,,,
150,11.962755,11.98896,0.026205,5
151,11.98896,11.98896,0.0,5
152,12.022293,11.98896,0.033333,5
153,12.055626,,,
154,12.088959,,,
155,12.122292,,,
156,12.155625,,,
157,12.191611,,,
158,12.224944,,,
159,12.258277,,,
160,12.29161,,,
161,12.324943,,,
162,12.358276,,,
163,12.388362,,,
164,12.421695,,,
165,12.455028,,,
166,12.488361,,,
167,12.521694,,,
168,12.555027,,,
169,12.590212,,,
170,12.623545,,,
171,12.656878,,,
172,12.690211,,,
173,12.723544,,,
174,12.756877,,,
175,12.790053,,,
176,12.823386,,,
177,12.856719,,,
178,12.890052,,,
179,12.923385,,,
180,12.956718,12.990712,0.033994,6
181,12.990712,12.990712,0.0,6
182,13.024045,12.990712,0.033333,6
183,13.057378,,,
184,13.090711,,,
185,13.124044,,,
186,13.157377,,,
187,13.188406,,,
188,13.221739,,,
189,13.255072,,,
190,13.288405,,,
191,13.321738,,,
192,13.355071,,,
193,13.389207,,,
194,13.42254,,,
195,13.455873,,,
196,13.489206,,,
197,13.522539,,,
