imgid,timestamp_seconds,tx,ty,tz,qx,qy,qz,qw
1,7.009129,465666.057548,5247973.646622,469.019496,0.6242869001023085,-0.35234519067365855,0.48360530814456165,0.5022396229930461
31,7.988182,465665.957153,5247973.611734,469.70929,0.626489516623966,-0.3495040487273201,0.49526924801397665,0.48996548598360523
61,9.002265,465665.909026,5247973.676972,469.997052,0.6313491319297696,-0.342176106773426,0.5258917940146698,0.4557977693593281
91,9.998204,465665.829212,5247973.715876,470.127735,0.6360954917424222,-0.335176043022294,0.527281242001326,0.4527847583592258
121,10.997044,465665.782634,5247973.631864,470.199503,0.6373434150960526,-0.33312646040799226,0.5298269164373929,0.4495593077984116
151,11.98896,465665.595499,5247973.569697,470.621347,0.6413824254179619,-0.3267115452777747,0.5337403611428043,0.4438573841160356
181,12.990712,465665.469848,5247973.536518,470.943083,0.6427870302981152,-0.324176192776139,0.5374969156478316,0.4391260586514595
211,13.989764,465665.496991,5247973.448533,471.014317,0.6470528871758926,-0.31736713088977453,0.5425102490716187,0.43160548546141597
241,14.990721,465665.472788,5247973.300544,471.102999,0.6420083818073581,-0.3259377354445175,0.5205448854569359,0.4589366541550399
271,15.983557,465665.414829,5247973.240896,471.297857,0.6395253076153907,-0.3291981683505643,0.5060059267251626,0.4760188536109498
301,16.989655,465665.37755,5247973.39527,471.474089,0.6430156841626163,-0.3240152219516108,0.5171852974333736,0.46267087003969015
331,17.985701,465665.407641,5247973.568785,471.593648,0.6409174890322997,-0.32711026860499737,0.5167971014244526,0.4638366095781813
361,18.984784,465665.35783,5247973.66338,471.575413,0.6411864261555692,-0.32668810779260216,0.512632001994644,0.4683623358807807
391,19.983676,465665.311139,5247973.73119,471.555241,0.6429864309865626,-0.3237628296331878,0.5057583089368966,0.47534683406578443
421,20.996026,465665.225663,5247973.793967,471.530586,0.6412850888485973,-0.32617652818755205,0.5057988130039306,0.4759515395959724
451,21.988746,465665.297074,5247973.887483,471.546673,0.6384524528740992,-0.3299490013599682,0.5002966851218779,0.48292375047896186
481,22.986362,465665.390125,5247974.013123,471.570619,0.08473302531384419,-0.5964346150619921,-0.08624513770538375,0.7935035227389959
511,23.980061,465665.30685,5247974.177369,471.553097,0.06593766498783526,-0.5995135190662253,-0.10218116307555516,0.7910719150022388
541,24.99133,465665.251687,5247974.188836,471.566827,0.04553422037005578,-0.6023702499930232,-0.11931211044656398,0.787934855809426
571,25.988216,465665.088825,5247974.031113,471.56249,0.023112320383672003,-0.5932079580719833,-0.15276276416733423,0.7900846011728782
601,26.989146,465664.674506,5247973.960194,471.525364,0.07684131318023618,-0.5895004539206896,-0.10908615510687844,0.7966710978691494
631,27.987,465664.263487,5247973.865909,471.479137,0.23993959953461638,-0.6004061531907199,0.09559659966627643,0.7568373206430399
661,28.986773,465663.931917,5247973.628292,471.491279,0.5624601754640024,-0.42362476563799667,0.42674175704359946,0.5675139485074333
691,29.985701,465663.686244,5247973.384568,471.659159,0.5671152495668398,-0.41615007348309896,0.417963120386696,0.5748967211990068
721,30.994598,465663.638741,5247973.355554,471.710632,0.5605807846366464,-0.42508720911184145,0.42671032843028495,0.5683030390175526
751,31.984283,465663.579073,5247973.449049,471.70663,0.5504161438028198,-0.43804028332064887,0.4346725184203159,0.5623367145756532
781,32.988469,465663.523569,5247973.463732,471.698719,0.5564450790936476,-0.42978334268967433,0.42846209049233447,0.5675168625775738
811,33.990537,465663.486933,5247973.43749,471.684765,0.555127430698783,-0.432423293779319,0.43634081649847484,0.5607587025987708
841,34.996511,465663.353509,5247973.392721,471.908201,0.555883954363169,-0.4328052376066586,0.44503417408874435,0.5528265907813764
871,35.985152,465663.196314,5247973.303684,472.073158,0.5547115273006344,-0.4328236612868609,0.4368197554193681,0.5604884485744533
901,36.990143,465663.062035,5247973.146146,472.228222,0.5458603859284278,-0.44103205784067395,0.42654702059707206,0.5706003875311069
931,37.989044,465662.969994,5247972.9713,472.384702,0.5454245588773882,-0.44240880839316576,0.4316466796493001,0.5660986140040268
961,38.995498,465662.881827,5247972.85776,472.325269,0.5443150884167696,-0.4422307778826425,0.4236213310058994,0.5733218917257106
991,39.987301,465662.924803,5247972.880759,472.206854,0.5424425926502663,-0.44455789172407195,0.426426569576482,0.5712133536113625
1021,40.988166,465663.126758,5247973.04768,472.224943,0.5435125892373588,-0.44325425479403335,0.4267006661147667,0.5710046168681148
1051,41.985116,465663.328791,5247973.108067,472.348004,0.5376092234290101,-0.45005400691814185,0.42651902889335647,0.5714098631742809
1081,42.996139,465663.615615,5247973.074926,472.493132,0.5359458113352796,-0.45185391359312804,0.42621674798339404,0.5717774145777381
1111,43.990078,465663.848065,5247972.959125,472.653144,0.5454851101631701,-0.44170869713051397,0.4307205612022285,0.5672911242273895
1141,44.990278,465664.030846,5247972.868878,472.678681,0.5405147071223895,-0.4499828313884873,0.44707236294715463,0.5527075222292936
1171,45.989353,465664.077483,5247972.704337,472.645234,0.5489038002234454,-0.4417269782275416,0.45711944373901764,0.5427925100459253
1201,46.99123,465664.03277,5247972.414784,472.612101,0.5578595770633462,-0.4308185305048944,0.4540013860757588,0.5450420419505249
1231,47.990403,465664.081083,5247971.959472,472.593945,0.562125084112955,-0.42327414660354135,0.4382814544162788,0.5592528527802055
1261,48.991066,465664.128353,5247971.418148,472.573467,0.559847303117277,-0.42532877592916973,0.43501172036636526,0.5625222064086014
